number,name,year,pic,dnt,rat,desc,footer,v_g
13.,John Wick: Chapter 2,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"A 122 min Action, Crime, Thriller",7.5     Rate this            1 2 3 4 5 6 7 8 9 10  7.5/10 X      75  Metascore,"
After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.","Director:Chad Stahelski, Stars:Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose","Votes:224,494 Gross:$92.03M"
14.,"Three Billboards Outside Ebbing, Missouri",(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 115 min Crime, Drama",8.2     Rate this            1 2 3 4 5 6 7 8 9 10  8.2/10 X      88  Metascore,"
A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.","Director:Martin McDonagh, Stars:Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones","Votes:218,782 Gross:$54.48M"
15.,Beauty and the Beast,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"UA 129 min Family, Fantasy, Musical",7.2     Rate this            1 2 3 4 5 6 7 8 9 10  7.2/10 X      65  Metascore,"
An adaptation of the fairy tale about a monstrous-looking prince and a young woman who fall in love.","Director:Bill Condon, Stars:Emma Watson, Dan Stevens, Luke Evans, Josh Gad","Votes:204,937 Gross:$504.01M"
16.,Kong: Skull Island,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG-13 118 min Action, Adventure, Fantasy",6.7     Rate this            1 2 3 4 5 6 7 8 9 10  6.7/10 X      62  Metascore,"
A team of scientists explore an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.","Director:Jordan Vogt-Roberts, Stars:Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly","Votes:202,190 Gross:$168.05M"
17.,The Shape of Water,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 123 min Adventure, Drama, Fantasy",7.5     Rate this            1 2 3 4 5 6 7 8 9 10  7.5/10 X      87  Metascore,"
At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.","Director:Guillermo del Toro, Stars:Sally Hawkins, Octavia Spencer, Michael Shannon, Doug Jones","Votes:198,681 Gross:$63.83M"
18.,Alien: Covenant,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"A 122 min Horror, Sci-Fi, Thriller",6.5     Rate this            1 2 3 4 5 6 7 8 9 10  6.5/10 X      65  Metascore,"
The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.","Director:Ridley Scott, Stars:Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride","Votes:195,497 Gross:$74.26M"
19.,Pirates of the Caribbean: Dead Men Tell No Tales,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG-13 129 min Action, Adventure, Fantasy",6.6     Rate this            1 2 3 4 5 6 7 8 9 10  6.6/10 X      39  Metascore,"
Captain Jack Sparrow searches for the trident of Poseidon while being pursued by an undead sea captain and his crew.","Directors:Joachim Rønning, Espen Sandberg, Stars:Johnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom","Votes:191,379 Gross:$172.56M"
20.,Kingsman: The Golden Circle,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 141 min Action, Adventure, Comedy",6.8     Rate this            1 2 3 4 5 6 7 8 9 10  6.8/10 X      44  Metascore,"
When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the US. These two elite secret organizations must band together to defeat a common enemy.","Director:Matthew Vaughn, Stars:Taron Egerton, Colin Firth, Mark Strong, Channing Tatum","Votes:173,953 Gross:$100.23M"
21.,War for the Planet of the Apes,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG-13 140 min Action, Adventure, Drama",7.5     Rate this            1 2 3 4 5 6 7 8 9 10  7.5/10 X      82  Metascore,"
After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.","Director:Matt Reeves, Stars:Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval","Votes:165,668 Gross:$146.88M"
22.,13 Reasons Why,(2017– ),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"60 min Drama, Mystery",8.3     Rate this            1 2 3 4 5 6 7 8 9 10  8.3/10 X,"
Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","Stars:Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe","Votes:160,990"
